DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753877967.938098;18.008076;0.7;-1.18;0.09;0.930842;-0.359859;0.009519;89.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.942704;18.013119;0.74;-1.16;-0.03;0.931027;-0.357255;0.008814;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.95082;18.0;0.7;-1.19;0.07;0.932324;-0.357826;0.010126;88.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.955426;18.003567;0.72;-1.17;0.1;0.931447;-0.360715;0.009668;87.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.960032;18.02428;0.6;-1.13;0.06;0.929852;-0.358434;0.009827;88.4;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.9681;18.007812;0.56;-1.12;0.07;0.932324;-0.357826;0.010126;88.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.970756;17.902344;0.56;-1.19;0.14;0.931348;-0.358924;0.009272;86.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.975362;17.894109;0.61;-1.2;0.17;0.928242;-0.360085;0.008606;86.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.981877;17.902344;0.63;-1.12;0.07;0.93025;-0.36173;0.008662;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.984407;17.902344;0.63;-1.12;0.07;0.933788;-0.35624;0.011346;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.992632;17.902344;0.63;-1.19;0.07;0.928298;-0.362462;0.010248;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.993494;17.902344;0.49;-1.12;0.07;0.932568;-0.358924;0.010126;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877967.998066;17.902344;0.63;-1.12;0.07;0.932324;-0.35746;0.009272;89.0;0.0;0.0;1.0;0.0;0.0
