sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1930467418, 84.04072570800781, -75.8333969116211, -61.44650650024414, 0, 0, 0, 0, 0, 0, 
1, 1930475751, 84.05187225341797, -75.82403564453125, -61.45035934448242, 9.912538528442383, 2.8195786476135254, 0.14095428586006165, 0.7788392901420593, -0.2593441605567932, 0.40484583377838135, 
2, 1930484084, 84.04609680175781, -75.82457733154297, -61.44388961791992, 9.576333045959473, 3.707597494125366, 0.5269713997840881, -0.02110612951219082, -0.025665463879704475, 1.5542590618133545, 
3, 1930492417, 84.03053283691406, -75.8313980102539, -61.43096923828125, 9.253093719482422, 3.1400387287139893, 0.9748479723930359, -0.5354143977165222, 0.012538167648017406, 2.3888988494873047, 
4, 1930500750, 84.03520965576172, -75.83846282958984, -61.440372467041016, 9.496015548706055, 2.0122873783111572, 0.2716439664363861, -0.6113606095314026, -0.5725550055503845, 2.277425527572632, 
5, 1930509083, 84.0386734008789, -75.83837890625, -61.44330978393555, 9.734905242919922, 1.2828338146209717, -0.3171999752521515, -0.009759021922945976, -0.3421036899089813, 1.5128406286239624, 
6, 1930517416, 84.05753326416016, -75.82971954345703, -61.45330810546875, 9.838006019592285, 2.2813711166381836, 0.1458176225423813, 1.0131069421768188, -0.39205145835876465, 0.40814998745918274, 
7, 1930525749, 84.05828857421875, -75.82582092285156, -61.451847076416016, 9.784889221191406, 3.587186574935913, 0.41975027322769165, 0.19206835329532623, -0.1659802496433258, 1.0768351554870605, 
8, 1930534082, 84.02735900878906, -75.8306884765625, -61.424991607666016, 9.330415725708008, 3.4860217571258545, 0.7732942700386047, -0.6692743301391602, 0.5178301334381104, 2.1313986778259277, 
9, 1930542415, 84.030029296875, -75.83712005615234, -61.432647705078125, 9.363749504089355, 2.3803091049194336, 0.726029634475708, -0.764354407787323, -0.5901263952255249, 2.275683879852295, 
10, 1930550748, 84.04263305664062, -75.84024810791016, -61.4446907043457, 9.70057487487793, 1.3978925943374634, -0.3680456280708313, 0.028393380343914032, -0.5987840294837952, 1.8069177865982056, 
11, 1930559081, 84.05107879638672, -75.8330078125, -61.440818786621094, 9.686766624450684, 1.6929634809494019, 0.018254054710268974, 0.8196426033973694, -0.19364359974861145, 0.6711313724517822, 
12, 1930567414, 84.06845092773438, -75.82575225830078, -61.4554328918457, 9.794157981872559, 3.139862060546875, 0.4568164348602295, 0.30310606956481934, -0.5456088185310364, 0.555585503578186, 
13, 1930575747, 84.05231475830078, -75.82784271240234, -61.43476486206055, 9.630590438842773, 3.7531895637512207, 0.6494801640510559, -0.19320815801620483, 0.1749836504459381, 1.833351492881775, 
14, 1930584080, 84.04396057128906, -75.83592224121094, -61.43197250366211, 9.279549598693848, 2.8391454219818115, 0.9915016889572144, -0.758488655090332, -0.2264554351568222, 2.4416897296905518, 
15, 1930592413, 84.04591369628906, -75.84110260009766, -61.44025802612305, 9.653240203857422, 1.6685248613357544, 0.03069903329014778, -0.4626443088054657, -0.477628618478775, 2.1317317485809326, 
16, 1930600746, 84.05806732177734, -75.83744812011719, -61.44880294799805, 9.751014709472656, 1.2246813774108887, -0.27044206857681274, 0.38256144523620605, -0.41016075015068054, 1.0055508613586426, 
17, 1930609079, 84.07169342041016, -75.82797241210938, -61.449485778808594, 9.954031944274902, 2.7630717754364014, 0.06011249125003815, 1.0670249462127686, -0.262033611536026, 0.39247408509254456, 
18, 1930617412, 84.0588150024414, -75.82661437988281, -61.436370849609375, 9.59736156463623, 3.7129688262939453, 0.510555624961853, -0.10197026282548904, 0.19242694973945618, 1.3494219779968262, 
19, 1930625745, 84.04322814941406, -75.83287811279297, -61.41860580444336, 9.212047576904297, 3.224229574203491, 1.0588582754135132, -0.5500913262367249, 0.014689764007925987, 2.3227884769439697, 
20, 1930634078, 84.0492935180664, -75.84042358398438, -61.42958068847656, 9.503647804260254, 2.176950454711914, 0.4308680593967438, -0.6316213607788086, -0.6217086911201477, 2.3335719108581543, 
21, 1930642411, 84.05589294433594, -75.841796875, -61.43673324584961, 9.799561500549316, 1.2760388851165771, -0.39151647686958313, 0.03828047588467598, -0.4451753795146942, 1.689194679260254, 
