sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1584797912, -89.25347900390625, 59.46663284301758, -64.19779968261719, 0, 0, 0, 0, 0, 0, 
1, 1584806245, -89.25336456298828, 59.46657180786133, -64.19767761230469, -8.0399751663208, -4.984172344207764, -0.00034292700001969934, 2.099073648452759, 0.3898870646953583, 1.199706792831421, 
2, 1584814578, -89.25706481933594, 59.469322204589844, -64.20169830322266, -8.468195915222168, -5.074262619018555, 0.15398019552230835, 2.115774154663086, 0.6765871644020081, 1.5480345487594604, 
3, 1584822911, -89.25497436523438, 59.471290588378906, -64.2002182006836, -8.741287231445312, -5.040225982666016, 0.06644843518733978, 2.2710859775543213, 0.3542448878288269, 1.449355959892273, 
4, 1584831244, -89.25395202636719, 59.47032928466797, -64.19944763183594, -8.677922248840332, -4.800899505615234, -0.09890071302652359, 2.187314987182617, 0.3785143494606018, 1.105600118637085, 
5, 1584839577, -89.25047302246094, 59.467037200927734, -64.19348907470703, -8.223958015441895, -4.831363201141357, 0.16150176525115967, 2.209010124206543, 0.2100239247083664, 0.816389799118042, 
6, 1584847910, -89.25077819824219, 59.46522521972656, -64.192626953125, -8.010384559631348, -4.936324596405029, -0.03548748791217804, 2.019105911254883, 0.3719314634799957, 1.0027844905853271, 
7, 1584856243, -89.2552719116211, 59.468231201171875, -64.19640350341797, -8.257341384887695, -5.0126543045043945, 0.23974841833114624, 1.9923391342163086, 0.6590670347213745, 1.5695762634277344, 
8, 1584864576, -89.25553894042969, 59.471343994140625, -64.19768524169922, -8.657761573791504, -5.045693397521973, -0.03141834959387779, 2.246176242828369, 0.5103251934051514, 1.5902470350265503, 
9, 1584872909, -89.2539291381836, 59.4717903137207, -64.19881439208984, -8.739876747131348, -4.894134044647217, 0.051176149398088455, 2.30047869682312, 0.40451279282569885, 1.267533302307129, 
10, 1584881242, -89.24938201904297, 59.46847152709961, -64.19519805908203, -8.447383880615234, -4.733146667480469, 0.006917749065905809, 2.3175504207611084, 0.20245490968227386, 0.8224730491638184, 
11, 1584889575, -89.24954223632812, 59.46588134765625, -64.19747161865234, -8.079123497009277, -4.917526721954346, 0.12224136292934418, 2.039238691329956, 0.37080445885658264, 0.900429904460907, 
12, 1584897908, -89.25077056884766, 59.466243743896484, -64.19812774658203, -8.05416488647461, -5.065747261047363, 0.14364472031593323, 2.067004919052124, 0.4673445522785187, 1.2612833976745605, 
13, 1584906241, -89.251708984375, 59.46883773803711, -64.19914245605469, -8.491498947143555, -5.035549163818359, -0.07478384673595428, 2.141439437866211, 0.49334290623664856, 1.521780014038086, 
14, 1584914574, -89.24920654296875, 59.470027923583984, -64.19750213623047, -8.66932201385498, -5.035820007324219, 0.19597315788269043, 2.273890972137451, 0.3298473060131073, 1.3642269372940063, 
15, 1584922907, -89.24711608886719, 59.469215393066406, -64.19571685791016, -8.569811820983887, -4.7863545417785645, -0.10545927286148071, 2.268204927444458, 0.34862256050109863, 1.1127208471298218, 
