sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 2167049621, -77.57938385009766, 41.598506927490234, -144.5211944580078, 0, 0, 0, 0, 0, 0, 
1, 2167057954, -77.57774353027344, 41.594078063964844, -144.51658630371094, -6.314866065979004, -7.577592849731445, 1.6676925420761108, -0.2376360446214676, -0.7444649338722229, 1.0582009553909302, 
2, 2167066287, -77.57201385498047, 41.59934997558594, -144.51748657226562, -6.006811618804932, -7.3547210693359375, 1.5746567249298096, 0.7008311152458191, -0.06156381592154503, 2.1247520446777344, 
3, 2167074620, -77.56656646728516, 41.60525131225586, -144.51731872558594, -6.137442588806152, -6.894809722900391, 1.512979507446289, 0.5715304613113403, -0.09012368321418762, 2.184253692626953, 
4, 2167082953, -77.57173919677734, 41.60806655883789, -144.52598571777344, -6.820472240447998, -6.710713863372803, 1.4325001239776611, -0.06983722001314163, 0.462567538022995, 1.7115944623947144, 
5, 2167091286, -77.57841491699219, 41.60057830810547, -144.52467346191406, -6.755123615264893, -7.174716472625732, 1.3564436435699463, -0.976632297039032, -0.5362979769706726, 0.6372053027153015, 
6, 2167099619, -77.57994842529297, 41.59373092651367, -144.52108764648438, -6.599356174468994, -7.459828853607178, 1.6701172590255737, -0.45166856050491333, -0.688088059425354, 0.7783909440040588, 
7, 2167107952, -77.57384490966797, 41.5971794128418, -144.51954650878906, -6.068164348602295, -7.53571081161499, 1.6978111267089844, 0.5400761365890503, -0.27211281657218933, 1.9221946001052856, 
8, 2167116285, -77.56880950927734, 41.60405349731445, -144.5202178955078, -6.100017070770264, -7.159492015838623, 1.5572476387023926, 0.5761154294013977, -0.06776246428489685, 2.3241589069366455, 
9, 2167124618, -77.57213592529297, 41.609500885009766, -144.52780151367188, -6.626948833465576, -6.562687873840332, 1.3718130588531494, 0.13549929857254028, 0.5770886540412903, 1.9823367595672607, 
10, 2167132951, -77.57443237304688, 41.6052131652832, -144.52352905273438, -6.846944332122803, -7.040665149688721, 1.3076255321502686, -0.6645485758781433, -0.7534812092781067, 1.1055361032485962, 
11, 2167141284, -77.5836410522461, 41.59654235839844, -144.52645874023438, -6.698215484619141, -7.4528117179870605, 1.5341417789459229, -0.9424629211425781, -0.1943223923444748, 0.41799870133399963, 
12, 2167149617, -77.5777587890625, 41.59419250488281, -144.52163696289062, -6.126711368560791, -7.572544097900391, 1.6824198961257935, 0.24164468050003052, -0.7854477167129517, 1.350766658782959, 
13, 2167157950, -77.57196044921875, 41.60221862792969, -144.52178955078125, -5.8713812828063965, -7.287018775939941, 1.5401839017868042, 0.6380762457847595, -0.007338478229939938, 2.4265902042388916, 
14, 2167166283, -77.57244873046875, 41.609066009521484, -144.5283660888672, -6.342387676239014, -6.684557914733887, 1.4046732187271118, 0.4885915517807007, 0.5630777478218079, 2.183511257171631, 
15, 2167174616, -77.57363891601562, 41.60899353027344, -144.52798461914062, -6.929837703704834, -6.914952754974365, 1.4941647052764893, -0.24283577501773834, -0.2630966305732727, 1.4877259731292725, 
16, 2167182949, -77.58258056640625, 41.59932327270508, -144.52687072753906, -6.815457820892334, -7.300956726074219, 1.4622557163238525, -1.0859794616699219, -0.4795112609863281, 0.3828815817832947, 
