sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 2911397033, -63.491607666015625, -83.68727111816406, 120.19261932373047, 0, 0, 0, 0, 0, 0, -0.47265625, 0.02392578125, -0.9716796875, 0, 
1, 2911405366, -63.443878173828125, -83.68466186523438, 120.15327453613281, 9.290294647216797, -1.300527572631836, 1.925484538078308, 4.133586883544922, -1.1524102687835693, 1.1363372802734375, -0.47216796875, 0.02490234375, -0.98193359375, 0, 
2, 2911413699, -63.553340911865234, -83.6880111694336, 120.26268005371094, 9.92449951171875, -1.1460295915603638, -0.523984432220459, 1.5667327642440796, -3.1448895931243896, 1.357080340385437, -0.47412109375, 0.01904296875, -0.97314453125, 0, 
3, 2911422032, -63.49550247192383, -83.68394470214844, 120.21527862548828, 10.691139221191406, -0.3517405688762665, 0.8045905232429504, 4.389293670654297, -0.9842014312744141, 1.235874056816101, -0.4736328125, 0.017578125, -0.96240234375, 0, 
4, 2911430365, -63.49668502807617, -83.6866455078125, 120.20520782470703, 9.431219100952148, -0.5962966680526733, 1.004702091217041, 1.9047129154205322, -1.8386664390563965, 0.8122403025627136, -0.47412109375, 0.0224609375, -0.97314453125, 0, 
5, 2911438698, -63.42806625366211, -83.68177032470703, 120.14817810058594, 9.054121971130371, -1.4205665588378906, -0.05028146132826805, 4.528545379638672, -0.8263536691665649, 1.2676740884780884, -0.47265625, 0.01953125, -0.9716796875, 0, 
6, 2911447031, -63.516231536865234, -83.68474578857422, 120.21836853027344, 10.28889274597168, -1.1257375478744507, 1.0783206224441528, 1.0112242698669434, -2.811302900314331, 1.2459532022476196, -0.47509765625, 0.015625, -0.9609375, 0, 
7, 2911455364, -63.45295715332031, -83.68183135986328, 120.15154266357422, 10.553238868713379, -0.4990098774433136, -0.3864705264568329, 3.922628164291382, -0.9730336666107178, 1.1150261163711548, -0.4736328125, 0.01953125, -0.9609375, 0, 
8, 2911463697, -63.47404098510742, -83.68611145019531, 120.16720581054688, 9.63704776763916, -0.7509639859199524, 2.543175220489502, 2.429548740386963, -2.175673246383667, 0.7238198518753052, -0.47509765625, 0.02490234375, -0.96923828125, 0, 
9, 2911472030, -63.46519470214844, -83.68331909179688, 120.1640625, 9.103100776672363, -1.3145302534103394, -1.4882961511611938, 3.7803666591644287, -1.5770174264907837, 1.3628695011138916, -0.474609375, 0.01953125, -0.9697265625, 0, 
10, 2911480363, -63.493465423583984, -83.68350982666016, 120.19869232177734, 10.290643692016602, -0.7804763913154602, 1.903925895690918, 2.5311858654022217, -2.104184150695801, 1.2606173753738403, -0.47607421875, 0.01904296875, -0.958984375, 0, 
11, 2911488696, -63.47262191772461, -83.68366241455078, 120.17809295654297, 9.89358901977539, -0.5710022449493408, -0.8547463417053223, 3.1391656398773193, -1.5238678455352783, 0.9479444622993469, -0.47314453125, 0.02099609375, -0.9619140625, 0, 
12, 2911497029, -63.45660400390625, -83.68649291992188, 120.17369842529297, 9.522997856140137, -1.1756900548934937, 2.2301950454711914, 4.2276811599731445, -1.8716708421707153, 0.8172478079795837, -0.474609375, 0.021484375, -0.9697265625, 0, 
13, 2911505362, -63.551979064941406, -83.68931579589844, 120.26029968261719, 9.919278144836426, -1.1606886386871338, -1.1801954507827759, 2.2713167667388916, -3.01342511177063, 1.3710530996322632, -0.47412109375, 0.017578125, -0.96728515625, 0, 
14, 2911513695, -63.52912521362305, -83.68661499023438, 120.24392700195312, 10.894784927368164, -0.5653998851776123, 1.6162806749343872, 3.8741276264190674, -1.4230116605758667, 1.2775613069534302, -0.474609375, 0.01708984375, -0.96142578125, 0, 
15, 2911522028, -63.530799865722656, -83.68863677978516, 120.2374496459961, 9.452296257019043, -0.5622804164886475, 0.3544730246067047, 2.1264681816101074, -1.792496919631958, 0.8323345184326172, -0.47265625, 0.02001953125, -0.96875, 0, 
16, 2911530361, -63.460838317871094, -83.68568420410156, 120.16716766357422, 9.040675163269043, -1.234089970588684, 0.7137222290039062, 4.693680763244629, -0.9721755385398865, 1.1112992763519287, -0.47412109375, 0.017578125, -0.9697265625, 0, 
17, 2911538694, -63.56161117553711, -83.68853759765625, 120.25049591064453, 9.973515510559082, -0.9861031174659729, 0.4935398995876312, 0.9333828091621399, -2.9033610820770264, 1.2772794961929321, -0.47412109375, 0.0166015625, -0.962890625, 0, 
18, 2911547027, -63.48973083496094, -83.68521881103516, 120.1833267211914, 10.754608154296875, -0.46881499886512756, -0.4127574563026428, 4.190463542938232, -0.8752769231796265, 1.127077579498291, -0.4736328125, 0.0185546875, -0.95361328125, 0, 
19, 2911555360, -63.50498962402344, -83.69022369384766, 120.18936157226562, 9.549874305725098, -0.870479941368103, 2.2382729053497314, 2.074061393737793, -2.1469979286193848, 0.6577735543251038, -0.47119140625, 0.0205078125, -0.9638671875, 0, 
20, 2911563693, -63.48883056640625, -83.68670654296875, 120.18097686767578, 9.14998722076416, -1.4472033977508545, -0.9910392761230469, 4.032013893127441, -1.482692837715149, 1.3994336128234863, -0.47509765625, 0.01953125, -0.96533203125, 0, 
21, 2911572026, -63.55279541015625, -83.68754577636719, 120.23451232910156, 10.388847351074219, -0.8129786252975464, 1.7971526384353638, 1.7977222204208374, -2.4438796043395996, 1.313228964805603, -0.47314453125, 0.01513671875, -0.9580078125, 0, 
22, 2911580359, -63.53805923461914, -83.68798065185547, 120.22022247314453, 10.112335205078125, -0.4335067868232727, -0.6710235476493835, 3.2527642250061035, -1.6640031337738037, 1.0191007852554321, -0.47265625, 0.02099609375, -0.9609375, 0, 
23, 2911588692, -63.5308952331543, -83.68900299072266, 120.21859741210938, 9.379243850708008, -0.9473329782485962, 2.0431020259857178, 3.759798526763916, -1.798734188079834, 0.960777223110199, -0.470703125, 0.021484375, -0.97119140625, 0, 
24, 2911597025, -63.59178161621094, -83.6900634765625, 120.2822265625, 9.510237693786621, -1.187501072883606, -1.393878698348999, 2.6607553958892822, -2.548091173171997, 1.3681330680847168, -0.4736328125, 0.0185546875, -0.966796875, 0, 
25, 2911605358, -63.57504653930664, -83.68807220458984, 120.27076721191406, 10.664464950561523, -0.714091420173645, 1.7587002515792847, 3.5199079513549805, -1.5386086702346802, 1.2808654308319092, -0.4736328125, 0.015625, -0.9580078125, 0, 
26, 2911613691, -63.593570709228516, -83.69158935546875, 120.28514099121094, 9.822210311889648, -0.7620099186897278, 0.12203409522771835, 2.584911823272705, -2.1214349269866943, 0.7928887009620667, -0.4736328125, 0.02197265625, -0.9658203125, 0, 
27, 2911622024, -63.56066131591797, -83.69049835205078, 120.26428985595703, 9.50961971282959, -1.2448058128356934, 1.2155638933181763, 4.556875228881836, -1.4534926414489746, 1.0847628116607666, -0.4736328125, 0.01806640625, -0.9697265625, 0, 
28, 2911630357, -63.64672088623047, -83.69316864013672, 120.34249877929688, 10.010880470275879, -0.8332011699676514, 0.05779748409986496, 1.2022042274475098, -2.7922208309173584, 1.2683401107788086, -0.47412109375, 0.01513671875, -0.96337890625, 0, 
29, 2911638690, -63.55849838256836, -83.68795013427734, 120.26055145263672, 10.351231575012207, -0.3028296232223511, 0.3513484001159668, 3.9118311405181885, -0.5123230814933777, 1.1587367057800293, -0.47119140625, 0.01953125, -0.9609375, 0, 
