Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7760083,35.0414762,29.15,-0.0365,0.04025,1.076,-0.26,-0.58,0.02,25240.0,15260.0,-34810.0
32.7760083,35.0414762,29.15,-0.00575,0.02575,0.958,1.12,-0.5,-0.04,25240.0,15260.0,-34810.0
32.7760083,35.0414762,29.15,-0.01925,0.0295,0.95425,-0.9,0.1,0.1,25250.0,15250.0,-34810.0
32.7760083,35.0414762,29.15,-0.03775,0.037,1.08425,-0.28,-0.04,0.06,25250.0,15240.0,-34810.0
32.7760083,35.0414762,29.15,-0.01125,0.022,0.96425,1.12,0.72,-0.04,25260.0,15230.0,-34810.0
32.7760083,35.0414762,29.15,-0.0205,0.0275,0.93925,-0.86,0.54,0.08,25240.0,15260.0,-34810.0
32.7760083,35.0414762,29.15,-0.03425,0.04075,1.077,-0.34,-1.0,0.0,25230.0,15270.0,-34810.0
32.7760083,35.0414762,29.15,-0.00725,0.02925,0.97725,1.26,-0.64,-0.06,25240.0,15260.0,-34810.0
32.7760083,35.0414762,29.15,-0.01625,0.0225,0.9355,-0.84,0.54,0.06,25240.0,15250.0,-34810.0
32.7760083,35.0414762,29.15,-0.03625,0.03625,1.07525,-0.76,0.24,0.08,25220.0,15300.0,-34810.0
32.7760083,35.0414762,29.15,-0.0145,0.03075,0.9855,1.34,0.38,0.02,25230.0,15280.0,-34810.0
32.7760083,35.0414762,29.15,-0.01925,0.02875,0.9195,-0.36,0.24,-0.02,25240.0,15250.0,-34810.0
32.7760083,35.0414762,29.15,-0.0375,0.042,1.0705,-0.78,-1.0,0.06,25260.0,15230.0,-34810.0
32.7760083,35.0414762,29.15,-0.01275,0.032,1.008,1.02,-0.46,-0.14,25260.0,15220.0,-34810.0
32.7760083,35.0414762,29.15,-0.00975,0.02125,0.914,-0.4,0.9,0.08,25260.0,15210.0,-34810.0
32.7760083,35.0414762,29.15,-0.034,0.04575,1.0615,-0.84,0.26,0.1,25260.0,15230.0,-34810.0
32.7760083,35.0414762,29.15,-0.01725,0.0395,1.02025,1.04,-0.26,-0.1,25260.0,15230.0,-34810.0
